Main_ID,RAdeg,DEdeg,PosErr,Pos_ref,Status,Spectype,Spectype_ref,Class,Compact,Compact_ref,Bursts,Bursts_ref,Mx,Mx_err,Mx_ref,Mo,Mo_err,Mo_ref,Period,Period_err,Period_ref,K2,K2_err,K2_ref,Spin period derivative,Spin period derivative_err,Spin period derivative_ref,Eccentricity,Eccentricity_err,Eccentricity_ref,Spin_period,Spin_period_err,Spin_period_ref,RV,RV_err,RV_ref,Gaia_Distance,Gaia_Distance_err_lo,Gaia_Distance_err_up,Other_Distance,Other_Distance_err,Other_Distance_ref,Merged_Dist,Globular_cluster,Comments,best_ID,HEAO_ID,HEAO_RA,HEAO_Dec,HEAO_err,HEAO_ref,UHURU4_ID,UHURU4_RA,UHURU4_Dec,UHURU4_err,UHURU4_ref,ARIEL3_ID,ARIEL3_RA,ARIEL3_Dec,ARIEL3_err,ARIEL3_ref,IGR_ID,IGR_RA,IGR_Dec,IGR_err,IGR_ref,2E_ID,2E_RA,2E_Dec,2E_err,2E_ref,ROSAT_ID,ROSAT_RA,ROSAT_Dec,ROSAT_err,ROSAT_ref,ROSATF_ID,ROSATF_RA,ROSATF_Dec,ROSATF_err,ROSATF_ref,FERMI_ID,FERMI_RA,FERMI_Dec,FERMI_err,FERMI_ref,SAX_ID,SAX_RA,SAX_Dec,SAX_err,SAX_ref,Swift_ID,Swift_RA,Swift_Dec,Swift_err,Swift_ref,XMM_ID,XMM_RA,XMM_Dec,XMM_err,XMM_ref,Chandra_ID,Chandra_RA,Chandra_Dec,Chandra_err,Chandra_ref,2MASS_ID,2MASS_RA,2MASS_Dec,2MASS_err,2MASS_ref,Gaia_ID,Gaia_RA,Gaia_Dec,Gaia_err,Gaia_ref
CXOGlb J002353.9-720350,5.9749,-72.0639,3.888888888888889E-6,,confirmed,,,,NS,2005ApJ...622..556H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.521,0.031,2021MNRAS.505.5957B,4521.0,NGC 104,GC;qLMXB?;2005ApJ...622..556H;,CXOGlb J002353.9-720350,,,,,,,,,,,,,,,,,,,,,2E 82,5.461666666666667,-72.35777777777777,0.010555555555555556,,,,,,,,,,,,4FGL J0024.0-7204,6.0082,-72.0788,0.009374,,,,,,,2SXPS J002354.2-720350,5.97585,-72.06403,4.7222223546769884E-4,,,,,,,2CXO J002353.9-720350,5.974991538758445,-72.06394684982938,1.976134670734518E-4,,,,,,,0,,,,
CXOGlb J002400.9-720453,6.003749999999999,-72.08138888888888,1.6666666666666666E-4,,candidate,,,,,,,,,,,,,,8.67,,2002ApJ...564L..17E,,,,,,,,,,,,,,,,,,,4.521,0.031,2021MNRAS.505.5957B,4521.0,NGC 104,HST;2002ApJ...564L..17E;GC;qLMXB;2005ApJ...622..556H;,CXOGlb J002400.9-720453,,,,,,,,,,,,,,,,,,,,,2E 82,5.461666666666667,-72.35777777777777,0.010555555555555556,,1WGA J0024.0-7204,6.0071,-72.0807,0.003611111111111111,,,,,,,4FGL J0024.0-7204,6.0082,-72.0788,0.009374,,,,,,,,,,,,,,,,,2CXO J002400.9-720453,6.004075250301412,-72.08147449184482,1.9719805588546663E-4,,,,,,,0,,,,
CXOGlb J002403.4-720451,6.0132603617424145,-72.08074979217676,5.857046279642318E-9,,candidate,,,,,,,,,,,,,,5.5,,2002ApJ...564L..17E,,,,,,,,,,,,,,,,,,,4.521,0.031,2021MNRAS.505.5957B,4521.0,NGC 104,HST;2002ApJ...564L..17E;GC;qLMXB;2005ApJ...622..556H;,Gaia DR3 4689639473003171456,,,,,,,,,,,,,,,,,,,,,2E 82,5.461666666666667,-72.35777777777777,0.010555555555555556,,1WGA J0024.0-7204,6.0071,-72.0807,0.003611111111111111,,,,,,,4FGL J0024.0-7204,6.0082,-72.0788,0.009374,,,,,,,2SXPS J002403.0-720453,6.01268,-72.08158,2.499999933772617E-4,,,,,,,2CXO J002403.5-720452,6.014684436261632,-72.08111634911197,1.971925111577276E-4,,2MASS J00240317-7204507,6.013217,-72.080765,1.9444444527228672E-5,,4689639473003171456,6.0132603617424145,-72.08074979217676,5.857046279642318E-9,
47 Tuc X-9,6.0145833333333325,-72.08111111111111,1.6666666666666666E-4,,confirmed,,,,BH?,2017MNRAS.467.2199B,,,,,,,,,0.47,3.0E-4,2017MNRAS.467.2199B,,,,,,,,,,,,,,,,,,,4.521,0.031,2021MNRAS.505.5957B,4521.0,NGC 104,,2CXO J002403.5-720452,,,,,,,,,,,,,,,,,,,,,2E 82,5.461666666666667,-72.35777777777777,0.010555555555555556,,1WGA J0024.0-7204,6.0071,-72.0807,0.003611111111111111,,,,,,,4FGL J0024.0-7204,6.0082,-72.0788,0.009374,,,,,,,2SXPS J002403.0-720453,6.01268,-72.08158,2.499999933772617E-4,,,,,,,2CXO J002403.5-720452,6.014684436261632,-72.08111634911197,1.971925111577276E-4,,,,,,,0,,,,
CXOGlb J002404.9-720451,6.020416666666666,-72.08083333333333,1.6666666666666666E-4,,confirmed,,,,NS,2005ApJ...622..556H,,,,,,,,,3.09,0.004,2005ApJ...622..556H,,,,,,,,,,,,,,,,,,,4.521,0.031,2021MNRAS.505.5957B,4521.0,NGC 104,GC;qLMXB?;2005ApJ...622..556H;,CXOGlb J002404.9-720451,,,,,,,,,,,,,,,,,,,,,2E 82,5.461666666666667,-72.35777777777777,0.010555555555555556,,1WGA J0024.0-7204,6.0071,-72.0807,0.003611111111111111,,,,,,,4FGL J0024.0-7204,6.0082,-72.0788,0.009374,,,,,,,2SXPS J002405.5-720444,6.02309,-72.07911,8.333333333333333E-4,,,,,,,2CXO J002404.9-720451,6.020770554251953,-72.08095301892519,1.9735139824294994E-4,,,,,,,0,,,,
GEN# +2.01040017,6.034369901613176,-72.07555478666286,9.895530011918811E-9,,confirmed,,,,NS,2005ApJ...622..556H,,,,,,,,,,,,,,,,,,,,,,,,,,,5142.0,-861.0,1575.0,4.521,0.031,2021MNRAS.505.5957B,4521.0,NGC 104,GC;qLMXB?;2005ApJ...622..556H;,Gaia DR3 4689639473007324032,,,,,,,,,,,,,,,,,,,,,2E 82,5.461666666666667,-72.35777777777777,0.010555555555555556,,,,,,,,,,,,4FGL J0024.0-7204,6.0082,-72.0788,0.009374,,,,,,,,,,,,,,,,,2CXO J002408.3-720431,6.034720257866809,-72.07541651218435,1.9758764474694197E-4,,,,,,,4689639473007324032,6.034369901613176,-72.07555478666286,9.895530011918811E-9,
V* V1037 Cas,7.262718,59.571944,9.851277777777778E-5,,confirmed,,,,NS,2004ATel..353....1M,,,,,,0.075,0.035,2008ApJ...672.1079T,2.46,1.7E-6,2005ApJ...622L..45G,,,,-4.2E-8,-99.0,2005ApJ...622L..45G,2.0E-4,-99.0,2005ApJ...622L..45G,0.00167,2.8E-14,2005ApJ...622L..45G,,,,,,,2.8,0.8,2008ApJ...672.1079T,2800.0,,,4XMM J002903.0+593418,,,,,,,,,,,3A 0026+593,7.2675,59.5963,0.0,,IGR J00291+5934,7.263,59.572,0.006833333273728689,,,,,,,1WGA J0029.0+5934,7.2637,59.5769,0.003611111111111111,,,,,,,,,,,,,,,,,2SXPS J002903.1+593418,7.263,59.57176,6.666666931576198E-4,,4XMM J002903.0+593418,7.262718,59.571944,9.851277777777778E-5,,2CXO J002903.0+593419,7.262675154823512,59.57194513950496,1.981733506762614E-4,,,,,,,0,,,,
4U 0042+32,11.059950001128675,33.293635862655016,8.821276326974234E-8,,confirmed,G0-8,1978MNRAS.183P..29C,,,,,,,,,,,,278.0,16.8,1978MNRAS.183P..35W,,,,,,,,,,,,,,,,,,,,,,,,,Gaia DR3 362002967811249024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2MASS J00441874+3317398,11.078094,33.294411,1.9444444527228672E-5,,62002967811249024,11.059950001128675,33.293635862655016,8.821276326974234E-8,
4FGL J0407.7-5702,61.87583333333332,-57.00666666666667,0.0016666666666666668,,confirmed,,,,NS,2020ApJ...904...49M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.7,2.8,2020ApJ...904...49M,9700.0,,transitional millisecond pulsar;2020ApJ...904...49M;,4FGL J0407.7-5702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1RXS  J040729.8-570019,61.87416,-57.00528,0.005,,4FGL J0407.7-5702,61.9327,-57.0359,0.044343,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
V* V518 Per,65.4280114472312,32.90748309894044,2.6631996366712784E-6,,confirmed,M4.5V,2000MNRAS.317..528W,,BH,1993AIPC..280..319K,,,2.7,0.7,2022MNRAS.516.2023C,0.33,0.28,2022MNRAS.516.2023C,5.09,7.2E-5,1995ApJ...455..614F,381.0,6.5,1995ApJ...455..614F,,,,,,,,,,9.2,3.3,1995ApJ...455..614F,,,,,,,,,,Gaia DR3 172650748928103552,,,,,,,,,,,,,,,,,,,,,,,,,,1WGA J0421.7+3254,65.4283,32.9091,0.003611111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,2CXO J042142.7+325426,65.42805845842167,32.90746822668484,2.06860386058986E-4,,,,,,,172650748928103552,65.4280114472312,32.90748309894044,2.6631996366712784E-6,
